job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
https://www.linkedin.com/jobs/view/superintendent-process-engineer-at-nutrien-3806856954,2024-01-19 14:39:06.873327+00:00,t,t,f,"Superintendent, Process Engineer",Nutrien,"Augusta, GA",2024-01-16 00:00:00+00:00,Martinez,United States,Foundry Metallurgist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/regional-sales-manager-mid-atlantic-at-alfasigma-usa-inc-3806588517,2024-01-19 14:39:07.377973+00:00,t,t,f,"Regional Sales Manager, Mid-Atlantic","Alfasigma USA, Inc.","Charlotte, NC",2024-01-15 00:00:00+00:00,Ridgewood,United States,Director Of Religious Activities,Mid senior,Onsite
https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03500-at-sally-beauty-3702780359,2024-01-19 14:39:09.618801+00:00,t,t,f,Beauty Advisor (Inside Sales) Sally Beauty 03500,Sally Beauty,"Marysville, OH",2024-01-15 00:00:00+00:00,Marysville,United States,Counter Supervisor,Mid senior,Onsite
https://ca.linkedin.com/jobs/view/cibc-analyste-principal-int%C3%A9gration-des-clients-et-soutien-aux-ventes-grandes-entreprises-groupe-entreprises-montr%C3%A9al-bilingue-at-cibc-3745397691,2024-01-19 14:39:10.337464+00:00,t,t,f,"CIBC | Analyste Principal, Intégration des clients et soutien aux ventes (Grandes Entreprises) | Groupe Entreprises | Montréal | bilingue",CIBC,"Montreal, Quebec, Canada",2024-01-16 00:00:00+00:00,Dorval,Canada,Occupational Analyst,Mid senior,Onsite
https://www.linkedin.com/jobs/view/site-supervisor-at-providence-medical-group-dayton-oh-3739810604,2024-01-19 14:39:28.448734+00:00,t,t,f,Site Supervisor,"Providence Medical Group, Dayton, OH","Germantown, OH",2024-01-14 00:00:00+00:00,Xenia,United States,Supervisor Inspection,Mid senior,Onsite
https://www.linkedin.com/jobs/view/office-manager-primary-care-at-hartford-healthcare-3779848970,2024-01-21 06:01:12.764554+00:00,t,t,f,Office Manager - Primary Care,Hartford HealthCare,"Norwich, CT",2024-01-14 00:00:00+00:00,Windham,United States,Administrative Assistant,Mid senior,Onsite
https://www.linkedin.com/jobs/view/ambassador-at-jeni-s-splendid-ice-creams-3799704705,2024-01-21 06:01:12.951860+00:00,t,t,f,Ambassador,Jeni's Splendid Ice Creams,"Bethesda, MD",2024-01-16 00:00:00+00:00,Washington,United States,Goodwill Ambassador,Mid senior,Onsite
https://www.linkedin.com/jobs/view/surgical-sales-representative-at-vantage-surgical-solutions-3800722967,2024-01-21 06:01:13.368912+00:00,t,t,f,Surgical Sales Representative,VANTAGE Surgical Solutions,"Albany, GA",2024-01-16 00:00:00+00:00,Georgia,United States,Handle Maker,Associate,Onsite
https://uk.linkedin.com/jobs/view/ct-technologist-at-host-healthcare-inc-3806801539,2024-01-21 06:01:14.166308+00:00,t,t,f,CT Technologist,"Host Healthcare, Inc.","Elsworth, England, United Kingdom",2024-01-16 00:00:00+00:00,Peterborough,United Kingdom,Radiation-Therapy Technologist,Mid senior,Onsite
https://www.linkedin.com/jobs/view/electrical-engineer-23-01066-at-espo-corporation-3270339955,2024-01-21 06:01:15.652901+00:00,t,t,f,Electrical Engineer 23-01066,ESPO Corporation,"Rockford, IL",2024-01-14 00:00:00+00:00,Belvidere,United States,Civil Engineer,Associate,Onsite
